cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,SUM_CASES,DATE
1268.0,5249.0,138.0,23.0,3120.0,377.0,10.0,164.0,5104.0,2639.0,300.0,818.0,59.0,519.0,2257.0,40.0,3.0,100.0,216.0,47.0,4572.0,308.0,3940.0,1638.0,3426.0,353.0,76.0,11998.0,374.0,1540.0,12593.0,63269.0,2020-10-06
599.0,1035.0,258.0,13.0,1841.0,378.0,30.0,294.0,12545.0,1382.0,229.0,905.0,49.0,364.0,2578.0,67.0,3.0,104.0,0.0,57.0,4000.0,0.0,0.0,0.0,0.0,818.0,168.0,23480.0,156.0,0.0,22961.0,74314.0,2020-10-05
830.0,1709.0,241.0,22.0,2554.0,370.0,70.0,40.0,16972.0,2279.0,267.0,858.0,63.0,605.0,2843.0,74.0,2.0,125.0,0.0,66.0,3963.0,0.0,2367.0,963.0,2064.0,704.0,227.0,0.0,461.0,0.0,12871.0,53610.0,2020-10-04
872.0,3721.0,333.0,17.0,3796.0,536.0,57.0,101.0,12148.0,2563.0,460.0,1086.0,40.0,466.0,2499.0,77.0,1.0,172.0,114.0,65.0,3820.0,122.0,2292.0,888.0,2343.0,679.0,238.0,0.0,712.0,551.0,6968.0,47737.0,2020-10-03
564.0,3410.0,234.0,17.0,5336.0,398.0,79.0,111.0,13970.0,2673.0,411.0,1322.0,41.0,442.0,2548.0,44.0,0.0,91.0,86.0,44.0,3253.0,113.0,1967.0,854.0,2086.0,797.0,175.0,11325.0,633.0,550.0,6914.0,60488.0,2020-10-02
1146.0,3243.0,213.0,12.0,1076.0,534.0,56.0,100.0,12845.0,2503.0,352.0,848.0,33.0,415.0,1850.0,95.0,0.0,115.0,78.0,37.0,3293.0,126.0,1552.0,825.0,2158.0,567.0,203.0,9419.0,689.0,411.0,7108.0,51902.0,2020-10-01
722.0,2984.0,135.0,30.0,1960.0,392.0,48.0,158.0,8051.0,1798.0,416.0,894.0,32.0,362.0,1647.0,32.0,2.0,88.0,55.0,23.0,3001.0,90.0,1326.0,688.0,1470.0,231.0,93.0,11016.0,613.0,223.0,7143.0,45723.0,2020-09-30
419.0,2782.0,48.0,17.0,1286.0,435.0,67.0,52.0,4070.0,2089.0,263.0,851.0,40.0,388.0,1494.0,21.0,1.0,105.0,19.0,19.0,2909.0,292.0,1306.0,425.0,1271.0,265.0,44.0,9906.0,378.0,664.0,4044.0,35970.0,2020-09-29
526.0,540.0,190.0,12.0,1303.0,424.0,35.0,105.0,11123.0,1192.0,216.0,702.0,22.0,430.0,1766.0,22.0,0.0,90.0,46.0,27.0,2989.0,0.0,1350.0,665.0,1438.0,478.0,159.0,31785.0,167.0,0.0,5692.0,63494.0,2020-09-28
623.0,944.0,212.0,13.0,1976.0,619.0,47.0,93.0,14412.0,1410.0,315.0,937.0,40.0,245.0,1869.0,29.0,0.0,111.0,78.0,21.0,2711.0,0.0,1584.0,884.0,1552.0,552.0,184.0,0.0,325.0,117.0,6041.0,37944.0,2020-09-27
1071.0,1623.0,223.0,8.0,2944.0,678.0,42.0,105.0,15797.0,2507.0,286.0,950.0,49.0,321.0,1912.0,31.0,0.0,114.0,75.0,29.0,2776.0,131.0,1587.0,899.0,1629.0,419.0,191.0,0.0,630.0,255.0,6873.0,44155.0,2020-09-26
688.0,1796.0,232.0,9.0,2910.0,559.0,43.0,91.0,16096.0,2153.0,341.0,927.0,36.0,319.0,1786.0,22.0,0.0,138.0,68.0,31.0,2541.0,123.0,1136.0,691.0,1639.0,360.0,122.0,12272.0,540.0,508.0,6634.0,54811.0,2020-09-25
661.0,2097.0,204.0,36.0,2306.0,558.0,57.0,93.0,13072.0,2143.0,358.0,750.0,57.0,231.0,1640.0,12.0,1.0,73.0,74.0,42.0,2351.0,152.0,974.0,802.0,1767.0,338.0,136.0,10653.0,553.0,436.0,6178.0,48805.0,2020-09-24
747.0,2074.0,144.0,15.0,2394.0,476.0,35.0,149.0,10008.0,1769.0,333.0,951.0,42.0,323.0,1391.0,34.0,2.0,45.0,100.0,42.0,2243.0,104.0,711.0,463.0,1059.0,175.0,88.0,11289.0,438.0,284.0,4926.0,42854.0,2020-09-23
593.0,2204.0,70.0,3.0,1524.0,1476.0,17.0,66.0,4298.0,1821.0,453.0,633.0,31.0,188.0,1350.0,1.0,2.0,70.0,112.0,38.0,2215.0,251.0,748.0,623.0,808.0,79.0,50.0,10799.0,266.0,1093.0,4368.0,36250.0,2020-09-22
609.0,461.0,197.0,20.0,934.0,0.0,49.0,58.0,11569.0,922.0,164.0,876.0,39.0,395.0,1587.0,10.0,0.0,80.0,86.0,46.0,1843.0,0.0,910.0,552.0,1231.0,131.0,111.0,31428.0,132.0,0.0,3899.0,58339.0,2020-09-21
757.0,894.0,212.0,15.0,2044.0,0.0,61.0,64.0,13498.0,1345.0,240.0,1070.0,77.0,267.0,1637.0,17.0,0.0,99.0,0.0,32.0,1882.0,0.0,1002.0,849.0,1333.0,290.0,114.0,0.0,279.0,0.0,4422.0,32500.0,2020-09-20
821.0,1709.0,234.0,7.0,2107.0,454.0,36.0,59.0,13215.0,2297.0,338.0,809.0,24.0,248.0,1907.0,4.0,1.0,61.0,177.0,65.0,1972.0,146.0,757.0,780.0,1527.0,235.0,137.0,0.0,437.0,487.0,4322.0,35373.0,2020-09-19
